uniprotswissprot,Symbol,logFC,t,P.Value,adj.P.Val,B,DEG,DEG_up,DEG_down,sig,UniProt,Subcellular.location..CC.,Intramembrane,Topological.domain,Transmembrane
A0A075B6K4,IGLV3-10,-246400392646023,"-6,425359689","0,0000000005341134374","0,00000003271584887","-4,59511985",TRUE,FALSE,TRUE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
A0A0B4J2D9,IGKV1D-13,329284178050601,"6,095222937","0,000000003451729103","0,0000001722219868","-4,59511985",TRUE,TRUE,FALSE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
O94868,FCHSD2,531263262049663,"8,902244055",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,O94868,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q3USJ8}. Cell junction {ECO:0000269|PubMed:14627983}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:29887380, ECO:0000269|PubMed:30249660}. Cell membrane {ECO:0000269|PubMed:14627983, ECO:0000269|PubMed:29887380, ECO:0000269|PubMed:30249660}; Peripheral membrane protein {ECO:0000269|PubMed:14627983, ECO:0000269|PubMed:30249660}; Cytoplasmic side {ECO:0000269|PubMed:14627983, ECO:0000269|PubMed:30249660}. Cell projection, stereocilium {ECO:0000250|UniProtKB:Q3USJ8}. Note=Partially localized at clathrin-coated pits at the cell membrane (PubMed:30249660). Detected at the cell membrane at sites around clathrin-coated pits, very close to the clathrin-coated pits but not an intrinsic part of the clathrin-coated pits (PubMed:29887380). Colocalizes at cell-cell contacts with CDH1, but is not detected at tight junctions (PubMed:14627983). {ECO:0000269|PubMed:14627983, ECO:0000269|PubMed:29887380, ECO:0000269|PubMed:30249660}.",,,
B7Z8K6,TRDC,144817423916912,"4,084424323","0,00005713194452","0,0009827428487","-4,59511985",TRUE,TRUE,FALSE,significant,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}.,,,TRANSMEM 130..152; /note=Helical; /evidence=ECO:0000255
Q96LA6,FCRL1,446034016638114,"8,33495685",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,Q96LA6,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15479727, ECO:0000269|PubMed:16849395}; Single-pass type I membrane protein {ECO:0000269|PubMed:15479727, ECO:0000269|PubMed:16849395}.",,TOPO_DOM 17..307; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 329..429; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 308..328; /note=Helical; /evidence=ECO:0000255
Q07343,PDE4B,433490269874193,"8,164753693",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,Q07343,SUBCELLULAR LOCATION: [Isoform PDE4B5]: Cytoplasm {ECO:0000269|PubMed:17519386}. Cell membrane {ECO:0000269|PubMed:17519386}.,,,
O60262,GNG7,-103857716487521,"-5,256501504","0,000000284100289","0,000008952961499","-4,59511985",TRUE,FALSE,TRUE,significant,O60262,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.,,,
Q16760,DGKD,420891638408151,"5,91658412","0,000000009195653368","0,000000414992604","-4,59511985",TRUE,TRUE,FALSE,significant,A0A024R495,"SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000269|PubMed:17880279}. Cytoplasm {ECO:0000269|PubMed:12200442}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:12200442}; Peripheral membrane protein {ECO:0000269|PubMed:12200442}. Cytoplasm {ECO:0000269|PubMed:12200442}. Note=Isoform 1 translocation from cytoplasm to the plasma membrane is induced by phorbol esters (PubMed:12200442). Phorbol esters induce the conversion into the monomeric form which can translocate to the plasma membrane (PubMed:12084710). {ECO:0000269|PubMed:12084710, ECO:0000269|PubMed:12200442}.",,,
Q14699,RFTN1,391665041952555,"7,307006031",0,"0,000000000226884137","-4,59511985",TRUE,TRUE,FALSE,significant,Q14699,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12805216, ECO:0000269|PubMed:21266579, ECO:0000269|PubMed:27022195}; Lipid-anchor {ECO:0000269|PubMed:12805216}. Cytoplasm {ECO:0000269|PubMed:21266579, ECO:0000269|PubMed:27022195}. Membrane raft {ECO:0000269|PubMed:12805216}. Endosome {ECO:0000269|PubMed:21266579, ECO:0000269|PubMed:27022195}. Early endosome {ECO:0000269|PubMed:21266579}. Note=Translocates from cytoplasm to cell membrane where it colocalizes with poly (I:C) and then moves to endosomes where it colocalizes with TLR3 (PubMed:21266579). Translocates from cytoplasm to cell membrane where it colocalizes with TLR4 and then together with TLR4 moves to endosomes, upon lipopolysaccharide stimulation (PubMed:27022195). {ECO:0000269|PubMed:21266579, ECO:0000269|PubMed:27022195}.",,,
O95164,UBL3,-72488331097761,"-3,964349751","0,00009262627125","0,001476323089","-4,59511985",TRUE,FALSE,TRUE,significant,A0A024RDP0,SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}.,,,
O94768,STK17B,371507277639757,"8,683225273",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,O94768,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9786912}. Cell membrane {ECO:0000250}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250}. Note=Colocalizes with STK17B at the plasma membrane. {ECO:0000250}.,,,
Q9GZY6,LAT2,364272828538226,"8,063692167",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,Q9GZY6,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12486104, ECO:0000269|PubMed:12514734}; Single-pass type III membrane protein {ECO:0000269|PubMed:12486104, ECO:0000269|PubMed:12514734}. Note=Present in lipid rafts.",,TOPO_DOM 1..5; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 27..243; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 6..26; /note=Helical; Signal-anchor for type III membrane protein; /evidence=ECO:0000255
P01599,IGKV1-17,272553007713448,"7,525936992",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
P01704,IGLV2-14,487397341154420,"12,65585839",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
